year,make,model,trim,body,transmission,state,odometer,color,sellingprice,odometer_custom
2013,Dodge,Avenger,SE,sedan,automatic,ms,63644.0,gray,9300.0,60k-80k
2011,Toyota,Tacoma,Base,cab,automatic,ga,100713.0,red,14500.0,More than 100k
2014,Ford,Mustang,V6,coupe,automatic,tx,17717.0,gray,19600.0,0-20k
2015,Ford,F-350 Super Duty,Lariat,cab,automatic,tx,18831.0,black,25700.0,0-20k
2014,Chrysler,Town and Country,Touring,van,automatic,fl,29755.0,red,17800.0,20k-40k
2014,Kia,Soul,+,wagon,,on,59622.0,black,15400.0,40k-60k
2014,Kia,Sportage,LX,suv,,fl,32976.0,blue,11300.0,20k-40k
2010,Toyota,Prius,II,hatchback,automatic,ga,63097.0,white,11900.0,60k-80k
2011,Subaru,Forester,2.5X Premium,suv,automatic,wi,67200.0,gray,14200.0,60k-80k
2014,Dodge,Grand Caravan,SXT,van,automatic,pa,40677.0,red,16300.0,40k-60k
2012,Ford,Fusion,SE,sedan,automatic,nc,92090.0,silver,7900.0,80k-100k
2011,Toyota,RAV4,Base,suv,automatic,ga,29201.0,black,15600.0,20k-40k
2013,Chevrolet,Suburban,LTZ 1500,suv,automatic,ca,64445.0,silver,30300.0,60k-80k
2012,Ford,F-150,XLT,cab,,ab,123170.0,gray,17250.0,More than 100k
2013,Mercedes-Benz,C-Class,C250 Sport,sedan,automatic,fl,18799.0,—,19800.0,0-20k
2012,Toyota,Prius,Three,hatchback,automatic,nj,51312.0,white,11200.0,40k-60k
2010,Toyota,Corolla,S,sedan,automatic,az,90247.0,red,7700.0,80k-100k
2012,Lexus,IS 250,Base,sedan,automatic,fl,40222.0,white,21000.0,40k-60k
2012,Chevrolet,Traverse,LS,suv,automatic,sc,49159.0,—,15200.0,40k-60k
2014,Toyota,Camry,SE,sedan,automatic,ca,20611.0,silver,17100.0,20k-40k
2014,Lexus,ES 350,Base,sedan,automatic,fl,53931.0,black,23500.0,40k-60k
2014,Chrysler,Town and Country,Touring-L,van,automatic,mi,19926.0,red,24100.0,0-20k
2010,BMW,3 Series,328i,sedan,automatic,fl,56298.0,silver,12200.0,40k-60k
2012,Toyota,Camry,SE,sedan,automatic,fl,25907.0,white,14900.0,20k-40k
2014,Ford,Explorer,XLT,suv,automatic,ny,1734.0,red,32800.0,0-20k
2013,Mercedes-Benz,E-Class,E350 Sport 4MATIC,sedan,automatic,co,18076.0,blue,33000.0,0-20k
2012,Nissan,Altima,2.5,sedan,automatic,tn,67296.0,—,12200.0,60k-80k
2012,Honda,Civic,LX,sedan,,pa,31244.0,gray,11200.0,20k-40k
2012,Mercedes-Benz,C-Class,C250 Sport,sedan,automatic,nv,24879.0,white,22000.0,20k-40k
2013,Dodge,Journey,SXT,suv,automatic,ne,45460.0,gray,16000.0,40k-60k
2013,Mercedes-Benz,GLK-Class,GLK350,suv,automatic,ca,18437.0,silver,30750.0,0-20k
2010,Chevrolet,Malibu,LT1,sedan,automatic,nc,100178.0,white,6900.0,More than 100k
2012,Audi,A5,2.0T Premium quattro,coupe,automatic,fl,38798.0,silver,22400.0,20k-40k
2012,Honda,Accord,EX-L,coupe,automatic,nj,43348.0,black,13300.0,40k-60k
2012,Ram,1500,ST,cab,automatic,tx,35919.0,black,16400.0,20k-40k
2013,Chevrolet,Camaro,SS,convertible,automatic,ca,61195.0,red,21300.0,60k-80k
2012,BMW,3 Series,328i,sedan,automatic,ca,31769.0,gray,22500.0,20k-40k
2013,Ford,Taurus,SE,sedan,automatic,fl,87450.0,white,12300.0,80k-100k
2012,Hyundai,Elantra,Limited,sedan,automatic,tx,65856.0,blue,12100.0,60k-80k
2012,Toyota,Tundra,Limited,cab,automatic,ny,34374.0,gray,30800.0,20k-40k
2012,Dodge,Grand Caravan,SXT,van,automatic,tx,96005.0,white,9400.0,80k-100k
2011,BMW,3 Series,328i xDrive,coupe,automatic,md,39051.0,black,18100.0,20k-40k
2013,Mercedes-Benz,E-Class,E350 Sport,sedan,automatic,ca,8348.0,—,36000.0,0-20k
2010,Kia,Soul,!,wagon,automatic,il,80324.0,silver,5900.0,80k-100k
2012,Nissan,370Z,Base,convertible,automatic,fl,7000.0,gray,26700.0,0-20k
2013,Hyundai,Elantra GT,Base,hatchback,automatic,pa,18202.0,black,14100.0,0-20k
2012,Ford,Fusion,SEL,sedan,automatic,nj,71359.0,black,10000.0,60k-80k
2010,Hyundai,Accent,GLS,sedan,automatic,tx,29470.0,red,6800.0,20k-40k
2012,BMW,3 Series,328i,sedan,automatic,wi,23728.0,white,28000.0,20k-40k
2012,Ford,Escape,XLT,suv,,nc,134146.0,red,7000.0,More than 100k
2013,Ford,Escape,SEL,suv,automatic,mi,19750.0,red,19400.0,0-20k
2012,Ford,Explorer,XLT,suv,automatic,tn,39562.0,—,23500.0,20k-40k
2014,Hyundai,Santa Fe,GLS,suv,automatic,ca,34023.0,silver,20800.0,20k-40k
2013,Chevrolet,Traverse,LS,suv,automatic,sc,51829.0,white,18000.0,40k-60k
2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,sedan,automatic,oh,43211.0,—,20250.0,40k-60k
2011,Honda,CR-V,SE,suv,automatic,ga,76285.0,green,11300.0,60k-80k
2012,Chevrolet,Cruze,Eco,sedan,automatic,il,45099.0,black,10600.0,40k-60k
2011,Lincoln,Town Car,Signature Limited,sedan,,md,165163.0,black,5800.0,More than 100k
2014,Volvo,XC60,3.2,suv,automatic,ca,20273.0,silver,29750.0,20k-40k
2013,Chrysler,300,C,sedan,automatic,tx,30555.0,white,22100.0,20k-40k
2012,Honda,Accord,SE,sedan,automatic,ca,47392.0,black,13100.0,40k-60k
2013,Mazda,Mazda3,i SV,sedan,manual,pa,15882.0,green,9000.0,0-20k
2014,Toyota,Camry,LE,sedan,automatic,nv,19592.0,silver,15400.0,0-20k
2012,Mazda,Mazda3,i Touring,sedan,,pa,46756.0,blue,10200.0,40k-60k
2013,Hyundai,Elantra,GLS,sedan,automatic,nj,59162.0,blue,9000.0,40k-60k
2014,Mercedes-Benz,E-Class,E350 Sport 4MATIC,sedan,automatic,oh,14961.0,black,38250.0,0-20k
2014,Toyota,Camry,LE,sedan,automatic,nc,12335.0,silver,15800.0,0-20k
2015,Chevrolet,Corvette,Z06,coupe,manual,pa,3261.0,blue,84500.0,0-20k
2010,Nissan,Altima,2.5 S,coupe,automatic,tx,71559.0,white,8800.0,60k-80k
2010,Audi,A5,2.0T Premium quattro,coupe,automatic,nj,20617.0,white,22600.0,20k-40k
2014,Dodge,Grand Caravan,SXT,van,automatic,mo,9647.0,white,18300.0,0-20k
2013,Chrysler,200,LX,sedan,automatic,pa,37072.0,white,10700.0,20k-40k
2014,Subaru,Outback,2.5i Premium PZEV,wagon,automatic,ca,9205.0,gray,22500.0,0-20k
2014,Ford,Expedition,EL King Ranch,suv,automatic,pa,35141.0,white,31500.0,20k-40k
2013,BMW,6 Series Gran Coupe,640i,sedan,automatic,ca,31933.0,black,47100.0,20k-40k
2010,Hyundai,Accent,GLS,sedan,automatic,fl,68539.0,blue,3300.0,60k-80k
2014,Toyota,Yaris,SE,hatchback,automatic,pr,3774.0,red,13000.0,0-20k
2013,GMC,Sierra 1500,SLE,cab,automatic,mi,39895.0,gray,24200.0,20k-40k
2014,Nissan,Sentra,SV,sedan,automatic,tn,10022.0,,13800.0,0-20k
2012,Infiniti,G Sedan,G37x,sedan,,pa,45233.0,white,17600.0,40k-60k
2011,BMW,5 Series,535i xDrive,sedan,automatic,ca,48935.0,gray,26250.0,40k-60k
2010,Dodge,Avenger,SXT,sedan,automatic,or,75427.0,gold,7600.0,60k-80k
2011,Ford,F-150,XLT,supercrew,automatic,fl,42818.0,red,23800.0,40k-60k
2012,Nissan,Altima,2.5 S,sedan,automatic,nj,7950.0,white,16000.0,0-20k
2014,Dodge,Grand Caravan,SXT,van,automatic,oh,39939.0,gray,15600.0,20k-40k
2011,Volkswagen,GTI,PZEV,hatchback,manual,ca,45724.0,—,12000.0,40k-60k
2014,Mazda,Mazda6,i Touring,sedan,automatic,ca,8086.0,red,19000.0,0-20k
2014,Chrysler,Town and Country,Touring,van,automatic,pa,10964.0,white,20100.0,0-20k
2012,Chrysler,Town and Country,Limited,van,automatic,nc,57194.0,gray,20800.0,40k-60k
2015,Dodge,Grand Caravan,R/T,van,automatic,pa,9868.0,beige,22900.0,0-20k
2010,Ford,Escape,XLT,suv,automatic,fl,152869.0,black,7700.0,More than 100k
2012,Nissan,Maxima,3.5 SV,sedan,automatic,nj,39528.0,black,18400.0,20k-40k
2011,Mazda,CX-9,Touring,suv,,nj,48897.0,—,18200.0,40k-60k
2013,Hyundai,Azera,Base,sedan,automatic,ca,14622.0,black,19800.0,0-20k
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,van,,fl,8918.0,white,25100.0,0-20k
2014,Chevrolet,Equinox,LS,suv,automatic,md,13196.0,black,17200.0,0-20k
2011,Nissan,Maxima,3.5 SV,sedan,automatic,il,18445.0,silver,17200.0,0-20k
2013,Chevrolet,Impala,LTZ,sedan,automatic,md,33585.0,white,13200.0,20k-40k
2011,BMW,5 Series,528i,sedan,automatic,ca,86516.0,gray,18500.0,80k-100k
2013,Mercedes-Benz,E-Class,E350 Sport,sedan,automatic,fl,34698.0,black,25600.0,20k-40k
2011,Toyota,Camry,LE,sedan,automatic,nj,53108.0,green,11200.0,40k-60k
2011,Hyundai,Elantra,GLS,sedan,automatic,ne,87679.0,gray,8600.0,80k-100k
2014,Chevrolet,Impala Limited,LT Fleet,sedan,automatic,fl,18026.0,red,14000.0,0-20k
2012,Nissan,Altima,2.5,sedan,automatic,nj,28553.0,silver,14100.0,20k-40k
2013,Ram,1500,Tradesman,cab,automatic,tx,38062.0,black,18000.0,20k-40k
2014,Lincoln,MKT,Base,wagon,automatic,mo,34468.0,red,24900.0,20k-40k
2012,Chevrolet,Malibu,LS Fleet,sedan,automatic,wi,83442.0,white,9500.0,80k-100k
2014,Dodge,Charger,SXT,sedan,automatic,fl,14942.0,charcoal,18800.0,0-20k
2014,Ford,Mustang,V6,coupe,automatic,fl,29346.0,—,18600.0,20k-40k
2010,Hyundai,Elantra,GLS,sedan,automatic,ma,110551.0,black,5000.0,More than 100k
